N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
174,한국앤컴퍼니,"17,100",250,-1.44%,500,"16,234","94,935",9.99,"72,531",6.55,5.08
175,아시아나항공,"21,750",650,-2.90%,"5,000","16,185","74,412",8.23,"741,308",-23.64,-43.83
176,NHN,"80,800","1,700",-2.06%,500,"15,809","19,565",12.42,"199,721",72.14,1.35
177,TIGER 미국나스닥100,"84,400",810,0.97%,0,"15,530","18,400",0.01,"126,420",N/A,N/A
178,금호타이어,"5,380",130,-2.36%,"5,000","15,455","287,260",4.13,"355,739",72.7,-6.74
179,한미반도체,"31,000",650,-2.05%,200,"15,333","49,460",5.67,"198,641",20.67,21.03
180,KODEX MSCI Korea TR,"12,465",160,-1.27%,0,"15,332","123,000",0.07,"342,759",N/A,N/A
181,명신산업,"29,200",250,-0.85%,500,"15,321","52,470",2.61,"362,796",-12.66,-67.39
182,동원시스템즈,"52,200",500,-0.95%,"5,000","15,236","29,188",13.53,"33,745",24.81,10.97
183,한일시멘트,"21,900","1,900",9.50%,500,"15,168","69,262",2.66,"4,259,085",12.59,N/A
184,KODEX 종합채권(AA-이상)액티브,"106,870",145,0.14%,0,"14,927","13,967",0,"5,231",N/A,N/A
185,롯데렌탈,"40,250",800,2.03%,"5,000","14,745","36,634",1.14,"145,822",20.55,6.73
186,F&F홀딩스,"37,250","1,400",-3.62%,500,"14,570","39,114",0.91,"111,462",0.28,16.59
187,프레스티지바이오파마,"23,850",200,-0.83%,0,"14,333","60,096",63.37,"165,531",-167.96,-1.78
188,아이에스동서,"46,100",650,-1.39%,500,"14,241","30,893",4.52,"32,132",13.15,10.92
189,종근당,"123,500","1,500",1.23%,"2,500","14,111","11,426",7.92,"41,880",16.58,17.88
190,코스맥스,"123,500","3,000",-2.37%,500,"14,017","11,350",24.08,"29,662",28.61,6.23
191,녹십자홀딩스,"29,650",300,-1.00%,500,"13,944","47,028",5.49,"72,797",9.15,19.74
192,DL,"66,400","1,600",-2.35%,"5,000","13,915","20,956",13.36,"76,552",2.14,11.84
193,TIGER TOP10,"13,350",215,-1.58%,0,"13,897","104,100",0.21,"275,215",N/A,N/A
194,롯데리츠,"5,650",40,-0.70%,500,"13,728","242,969",9.9,"244,783",71.52,1.68
195,롯데관광개발,"19,500",450,-2.26%,500,"13,509","69,276",6.41,"441,124",-8.64,-30.43
196,PI첨단소재,"45,950","1,050",-2.23%,500,"13,494","29,366",17.17,"146,638",24.72,15.62
197,솔루엠,"26,750",150,-0.56%,500,"13,376","50,006",8.64,"300,203",49.81,43.26
198,LG생활건강우,"628,000","4,000",0.64%,"5,000","13,186","2,100",84.22,"1,933",13.19,N/A
199,롯데칠성,"142,000","3,000",-2.07%,500,"13,176","9,279",8.35,"24,249",57.84,-1
200,TIGER 2차전지테마,"22,390",75,0.34%,0,"13,154","58,750",0.96,"1,515,032",N/A,N/A
